Type,TimeStamp,PositionX,PositionY,PositionZ,PlayerID
Movement,0,-2,0,5,0,0
Movement,1,002873,-2,-1,192093E-07,0,0
Movement,2,008893,-2,645671,0,-0,0932636,0
Movement,3,012012,-10,00514,1,628,0,2822404,0
Movement,4,014981,-15,90469,0,1,251866,0
Movement,5,019521,-22,46025,0,-0,3522213,0
Movement,6,023963,-27,83683,-0,8039985,-2,76303,0
Movement,7,027738,-27,83683,-3,5,-2,76303,0
Movement,8,027948,-27,83683,-3,5,-2,76303,0
Movement,9,029863,0,-1,192093E-07,0,0
Movement,10,03275,0,-1,192093E-07,0,0
Movement,11,03291,2,477159,1,508,2,868162,0

